Player,Tests,ODIs,T20Is
Sachin Tendulkar,51,49,0
Virat Kohli,29,51,2
Ricky Ponting,41,30,0
Jacques Kallis,45,17,0
Kumar Sangakkara,38,25,0
Hashim Amla,28,27,0
Joe Root,31,16,0
David Warner,26,22,1
Rohit Sharma,10,31,5
Steve Smith,32,13,0
Kane Williamson,32,13,1
Rahul Dravid,36,12,0
AB de Villiers,22,25,0
Mahela Jayawardene,34,19,0
Brian Lara,34,19,0
Chris Gayle,15,25,2
Younis Khan,34,7,0
Michael Clarke,28,8,0
Shubman Gill,2,5,1
Babar Azam,10,19,3
